frequency_hz,two_ray_los_db,two_ray_with_reflector_db,room_metal_db,room_concrete_db,room_foam_board_db
5420000000.0,-57.12776895265111,-52.33319540819537,-68.72585984856096,-67.82991269819954,-62.41049312974879
5422000000.0,-57.13097348677272,-52.35784831145288,-67.17711011476426,-67.05977540756083,-62.274070559872534
5424000000.0,-57.134176839063514,-52.3869204302131,-65.62836038096756,-66.28963811692213,-62.13764798999628
5426000000.0,-57.13737901039492,-52.42043700423059,-64.28663713022038,-65.52468558693208,-62.00687586155993
5428000000.0,-57.14058000163736,-52.45842778479667,-63.15194036252271,-64.76491781759069,-61.88175417456348
5430000000.0,-57.14377981366031,-52.50092714817349,-62.01724359482503,-64.00515004824928,-61.75663248756703
5432000000.0,-57.14697844733227,-52.54797422787896,-61.16130571253926,-63.33891973790115,-61.64197057752118
5434000000.0,-57.15017590352082,-52.599613066862425,-60.305367830253495,-62.672689427553024,-61.52730866747532
5436000000.0,-57.15337218309251,-52.65589279077979,-59.54930173022175,-62.06186764271407,-61.41747534740487
5438000000.0,-57.156567286913,-52.716867803762845,-58.893107412444024,-61.506454383384295,-61.31247061730981
5440000000.0,-57.15976121584697,-52.78259800828294,-58.236913094666306,-60.95104112405451,-61.20746588721477
5442000000.0,-57.16295397075815,-52.85314905093259,-57.73460009812472,-60.50212276948898,-61.111612019845595
5444000000.0,-57.16614555250931,-52.928592596197994,-57.23228710158314,-60.05320441492344,-61.01575815247642
5446000000.0,-57.16933596196229,-53.009006630571406,-56.792820507323285,-59.652837690646805,-60.924421026640076
5448000000.0,-57.172525199977954,-53.09447579966456,-56.41620031534515,-59.30102259665906,-60.837600642336554
5450000000.0,-57.175713267416214,-53.185091781322726,-56.03958012336702,-58.94920750267132,-60.75078025803303
5452000000.0,-57.178900165136085,-53.28095369813215,-55.77036855738909,-58.68497149244457,-60.67321214633232
5454000000.0,-57.18208589399559,-53.382168573145485,-55.501156991411165,-58.42073548221782,-60.595644034631604
5456000000.0,-57.185270454851825,-53.48885183313877,-55.27941508102621,-58.19599279258205,-60.522900950255966
5458000000.0,-57.188453848560926,-53.60112786426319,-55.10514282623422,-58.01074342353726,-60.45498289320541
5460000000.0,-57.191636075978124,-53.71913062557924,-54.930870571442235,-57.82549405449246,-60.387064836154856
5462000000.0,-57.19481713795766,-53.84300432665596,-54.84247338330865,-57.71138268081656,-60.32916684652525
5464000000.0,-57.1979970353529,-53.97290417620998,-54.75407619517507,-57.597271307140666,-60.27126885689563
5466000000.0,-57.20117576901621,-54.10899720964876,-54.70493479492962,-57.514858475557226,-60.2184520613793
5468000000.0,-57.20435333979907,-54.25146320438039,-54.695049182572305,-57.46414418606624,-60.170716459976255
5470000000.0,-57.20752974855199,-54.40049569287378,-54.685163570214996,-57.41342989657526,-60.12298085857321
5472000000.0,-57.210704996124576,-54.55630308471277,-54.74656418842913,-57.41762179264751,-60.08517666458556
5474000000.0,-57.21387908336547,-54.71910991027912,-54.80796480664327,-57.42181368871976,-60.047372470597914
5476000000.0,-57.217052011122426,-54.88915820024295,-54.90054622613347,-57.44834307662852,-60.01420263008239
5478000000.0,-57.22022378024222,-55.06670901672482,-55.02430844689974,-57.49720995637379,-59.98566714303897
5480000000.0,-57.22339439157076,-55.252044153816826,-55.148070667666005,-57.546076836119056,-59.957131655995546
5482000000.0,-57.22656384595297,-55.445468027052634,-55.321145662850356,-57.626694900318576,-59.93681571424386
5484000000.0,-57.22973214423288,-55.64730977338451,-55.49422065803471,-57.707312964518096,-59.91649977249218
5486000000.0,-57.23289928725358,-55.85792558510933,-55.68188439170329,-57.795757750481066,-59.89964980852129
5488000000.0,-57.236065275857285,-56.07770130283765,-55.88413686385611,-57.8920292582075,-59.886265822331204
5490000000.0,-57.23923011088522,-56.30705529373365,-56.08638933600892,-57.988300765933936,-59.87288183614111
5492000000.0,-57.242393793177726,-56.54644164145004,-56.28829897081579,-58.08172519239028,-59.865134473055946
5494000000.0,-57.245556323574235,-56.796353672725964,-56.490208605622655,-58.175149618846625,-59.85738710997078
5496000000.0,-57.248717702913254,-57.05732784151515,-56.67336952947779,-58.25811607553382,-59.851943038272516
5498000000.0,-57.251877932032365,-57.329947983104,-56.837781742381196,-58.33062456245187,-59.84880225796116
5500000000.0,-57.25503701176825,-57.61484993552983,-57.0021939552846,-58.40313304936991,-59.845661477649806
5502000000.0,-57.25819494295667,-57.912726499913354,-57.0021939552846,-58.40313304936991,-59.845661477649806
5504000000.0,-57.26135172643247,-58.224332669235245,-57.0021939552846,-58.40313304936991,-59.845661477649806
5506000000.0,-57.264507363029594,-58.550490987607745,-57.0021939552846,-58.40313304936991,-59.845661477649806
5508000000.0,-57.267661853581096,-58.89209679527912,-57.0021939552846,-58.40313304936991,-59.845661477649806
5510000000.0,-57.270815198919074,-59.25012294678906,-57.0021939552846,-58.40313304936991,-59.845661477649806
5512000000.0,-57.27396739987476,-59.62562332706625,-57.0021939552846,-58.40313304936991,-59.845661477649806
5514000000.0,-57.27711845727847,-60.01973407981161,-57.0021939552846,-58.40313304936991,-59.845661477649806
5516000000.0,-57.280268371959615,-60.43367082115746,-57.0021939552846,-58.40313304936991,-59.845661477649806
5518000000.0,-57.28341714474671,-60.86871910845359,-57.0021939552846,-58.40313304936991,-59.845661477649806
5520000000.0,-57.28656477646736,-61.326213863877854,-57.0021939552846,-58.40313304936991,-59.845661477649806
5522000000.0,-57.289711267948256,-61.807500995403245,-57.0021939552846,-58.40313304936991,-59.845661477649806
5524000000.0,-57.29285662001524,-62.313870622399314,-57.0021939552846,-58.40313304936991,-59.845661477649806
5526000000.0,-57.296000833493224,-62.84644536911298,-57.0021939552846,-58.40313304936991,-59.845661477649806
5528000000.0,-57.29914390920621,-63.4059981156689,-57.0021939552846,-58.40313304936991,-59.845661477649806
5530000000.0,-57.302285847977345,-63.99266015235608,-57.0021939552846,-58.40313304936991,-59.845661477649806
